email_id,category,notes
email_508,Document Comparison,SI versus draft BL comparison requested but the attachments are missing
email_509,Document Comparison,SI versus draft BL comparison requested but the draft BL is missing
email_510,Document Comparison,SI versus draft BL comparison requested but the attachments are missing
email_511,Document Comparison,SI versus draft BL comparison requested but the BL file cannot be opened
email_512,Document Comparison,SI versus draft BL comparison requested using scanned image-only documents
email_513,Document Comparison,SI versus draft BL comparison requested using scanned image-only documents
email_514,Document Comparison,SI versus draft BL comparison requested using scanned image-only documents
email_515,Document Comparison,SI versus draft BL comparison requested but the BL file cannot be opened
email_516,Document Comparison,SI versus draft BL comparison requested with incomplete SI fields
email_517,Document Comparison,SI versus draft BL comparison requested with incomplete SI fields
email_518,Document Comparison,SI versus draft BL comparison requested with incomplete SI fields
email_519,Document Comparison,SI versus draft BL comparison requested with incomplete SI fields
email_520,Document Comparison,SI versus draft BL comparison requested with incomplete SI fields
